run,burned_cells
run_0001,1
run_0002,10
run_0003,1
run_0004,1
run_0005,28
run_0006,1
run_0007,14
run_0008,1
run_0009,1
run_0010,114
run_0011,1
run_0012,102
run_0013,81
run_0014,6
run_0015,50
run_0016,1
run_0017,67
run_0018,10
run_0019,1
run_0020,10
run_0021,11
run_0022,4
run_0023,138
run_0024,88
run_0025,6
run_0026,1
run_0027,1
run_0028,1
run_0029,1
run_0030,1
run_0031,90
run_0032,25
run_0033,1
run_0034,34
run_0035,110
run_0036,1
run_0037,1
run_0038,18
run_0039,1
run_0040,1
run_0041,4
run_0042,82
run_0043,1
run_0044,2
run_0045,1
run_0046,18
run_0047,2
run_0048,57
run_0049,1
run_0050,6
run_0051,1
run_0052,1
run_0053,32
run_0054,54
run_0055,53
run_0056,1
run_0057,1
run_0058,5
run_0059,17
run_0060,4
run_0061,21
run_0062,35
run_0063,1
run_0064,2
run_0065,8
run_0066,22
run_0067,2
run_0068,1
run_0069,18
run_0070,1
run_0071,1
run_0072,1
run_0073,1
run_0074,1
run_0075,32
run_0076,1
run_0077,56
run_0078,1
run_0079,95
run_0080,1
run_0081,1
run_0082,3
run_0083,18
run_0084,11
run_0085,1
run_0086,139
run_0087,1
run_0088,15
run_0089,89
run_0090,38
run_0091,1
run_0092,1
run_0093,10
run_0094,1
run_0095,37
run_0096,3
run_0097,103
run_0098,1
run_0099,11
run_0100,1
run_0101,1
run_0102,1
run_0103,4
run_0104,13
run_0105,28
run_0106,1
run_0107,52
run_0108,30
run_0109,179
run_0110,1
run_0111,1
run_0112,1
run_0113,1
run_0114,17
run_0115,6
run_0116,2
run_0117,1
run_0118,78
run_0119,27
run_0120,28
run_0121,8
run_0122,31
run_0123,93
run_0124,66
run_0125,1
run_0126,1
run_0127,95
run_0128,1
run_0129,1
run_0130,20
run_0131,1
run_0132,54
run_0133,1
run_0134,118
run_0135,11
run_0136,1
run_0137,1
run_0138,1
run_0139,9
run_0140,1
run_0141,1
run_0142,54
run_0143,1
run_0144,1
run_0145,19
run_0146,27
run_0147,26
run_0148,146
run_0149,1
run_0150,46
run_0151,4
run_0152,18
run_0153,45
run_0154,26
run_0155,1
run_0156,1
run_0157,1
run_0158,62
run_0159,1
run_0160,76
run_0161,1
run_0162,16
run_0163,108
run_0164,1
run_0165,1
run_0166,153
run_0167,51
run_0168,51
run_0169,1
run_0170,1
run_0171,8
run_0172,25
run_0173,1
run_0174,38
run_0175,1
run_0176,1
run_0177,26
run_0178,143
run_0179,32
run_0180,1
run_0181,16
run_0182,1
run_0183,8
run_0184,1
run_0185,3
run_0186,1
run_0187,4
run_0188,54
run_0189,24
run_0190,6
run_0191,101
run_0192,30
run_0193,77
run_0194,1
run_0195,79
run_0196,1
run_0197,1
run_0198,1
run_0199,1
run_0200,1
run_0201,56
run_0202,171
run_0203,22
run_0204,1
run_0205,1
run_0206,1
run_0207,1
run_0208,120
run_0209,37
run_0210,90
run_0211,1
run_0212,16
run_0213,1
run_0214,1
run_0215,1
run_0216,1
run_0217,1
run_0218,1
run_0219,1
run_0220,1
run_0221,2
run_0222,1
run_0223,2
run_0224,1
run_0225,1
run_0226,1
run_0227,1
run_0228,140
run_0229,1
run_0230,211
run_0231,66
run_0232,1
run_0233,1
run_0234,1
run_0235,49
run_0236,1
run_0237,33
run_0238,1
run_0239,46
run_0240,1
run_0241,1
run_0242,1
run_0243,34
run_0244,1
run_0245,2
run_0246,17
run_0247,26
run_0248,2
run_0249,37
run_0250,1
run_0251,44
run_0252,3
run_0253,87
run_0254,53
run_0255,1
run_0256,81
run_0257,1
run_0258,1
run_0259,1
run_0260,20
run_0261,26
run_0262,1
run_0263,1
run_0264,1
run_0265,1
run_0266,1
run_0267,1
run_0268,1
run_0269,1
run_0270,1
run_0271,23
run_0272,1
run_0273,1
run_0274,1
run_0275,31
run_0276,82
run_0277,1
run_0278,48
run_0279,1
run_0280,1
run_0281,1
run_0282,18
run_0283,7
run_0284,3
run_0285,1
run_0286,42
run_0287,2
run_0288,1
run_0289,6
run_0290,6
run_0291,91
run_0292,20
run_0293,8
run_0294,16
run_0295,1
run_0296,1
run_0297,77
run_0298,2
run_0299,10
run_0300,25
run_0301,1
run_0302,63
run_0303,172
run_0304,27
run_0305,4
run_0306,1
run_0307,1
run_0308,49
run_0309,43
run_0310,188
run_0311,151
run_0312,58
run_0313,51
run_0314,19
run_0315,21
run_0316,1
run_0317,22
run_0318,137
run_0319,4
run_0320,9
run_0321,36
run_0322,1
run_0323,57
run_0324,2
run_0325,1
run_0326,45
run_0327,1
run_0328,27
run_0329,1
run_0330,1
run_0331,1
run_0332,1
run_0333,6
run_0334,1
run_0335,35
run_0336,81
run_0337,102
run_0338,1
run_0339,3
run_0340,1
run_0341,80
run_0342,30
run_0343,36
run_0344,52
run_0345,28
run_0346,1
run_0347,1
run_0348,21
run_0349,70
run_0350,26
run_0351,1
run_0352,1
run_0353,1
run_0354,1
run_0355,1
run_0356,13
run_0357,4
run_0358,17
run_0359,1
run_0360,1
run_0361,1
run_0362,19
run_0363,1
run_0364,1
run_0365,105
run_0366,31
run_0367,1
run_0368,1
run_0369,1
run_0370,26
run_0371,43
run_0372,3
run_0373,176
run_0374,27
run_0375,1
run_0376,1
run_0377,1
run_0378,3
run_0379,1
run_0380,1
run_0381,9
run_0382,1
run_0383,1
run_0384,1
run_0385,1
run_0386,164
run_0387,1
run_0388,1
run_0389,5
run_0390,1
run_0391,1
run_0392,30
run_0393,151
run_0394,2
run_0395,18
run_0396,23
run_0397,1
run_0398,1
run_0399,1
run_0400,30
run_0401,20
run_0402,29
run_0403,1
run_0404,3
run_0405,45
run_0406,1
run_0407,3
run_0408,1
run_0409,1
run_0410,1
run_0411,2
run_0412,1
run_0413,1
run_0414,1
run_0415,1
run_0416,1
run_0417,1
run_0418,50
run_0419,6
run_0420,1
run_0421,16
run_0422,1
run_0423,40
run_0424,12
run_0425,1
run_0426,5
run_0427,2
run_0428,1
run_0429,1
run_0430,1
run_0431,1
run_0432,87
run_0433,1
run_0434,111
run_0435,1
run_0436,1
run_0437,1
run_0438,71
run_0439,28
run_0440,17
run_0441,8
run_0442,3
run_0443,3
run_0444,1
run_0445,1
run_0446,1
run_0447,3
run_0448,1
run_0449,29
run_0450,1
run_0451,29
run_0452,1
run_0453,1
run_0454,93
run_0455,42
run_0456,20
run_0457,61
run_0458,4
run_0459,85
run_0460,1
run_0461,2
run_0462,1
run_0463,1
run_0464,1
run_0465,109
run_0466,2
run_0467,19
run_0468,1
run_0469,1
run_0470,41
run_0471,13
run_0472,41
run_0473,29
run_0474,1
run_0475,4
run_0476,31
run_0477,1
run_0478,49
run_0479,127
run_0480,1
run_0481,2
run_0482,1
run_0483,13
run_0484,16
run_0485,1
run_0486,1
run_0487,21
run_0488,22
run_0489,1
run_0490,17
run_0491,51
run_0492,1
run_0493,83
run_0494,39
run_0495,1
run_0496,25
run_0497,66
run_0498,7
run_0499,5
run_0500,61
