run_id,weather_index,scenario,station_code,station_name,scenario_date,local_datetime_pst,APCP_mm,TMP_C,RH_pct,WS_kmh,WD_deg,FFMC,DMC,DC,ISI,BUI,FWI,fire_number,fire_year,fire_cause,ignition_lat,ignition_lon,cell_id
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 12:00,0,5.5,76.0,3.4,168.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 13:00,0,4.9,83.0,4.9,193.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 14:00,0,5.0,88.0,6.1,200.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 15:00,0,5.1,85.0,6.1,202.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 16:00,0,4.1,87.0,7.2,198.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
1,345,406_20251020,406,SLOCAN,20251020,2025-10-20 17:00,0,3.3,89.0,5.3,213.0,23.494,13.482,469.591,0.001,25.159,0.001,N71674,2020,Unknown,49.65772114516289,-116.83018413586879,44325
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 12:00,0,25.3,22.0,10.2,197.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 13:00,0,26.2,22.0,11.9,214.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 14:00,0,27.0,17.0,11.1,220.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 15:00,0,27.9,19.0,11.6,221.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 16:00,0,28.1,21.0,11.4,211.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
2,197,406_20250525,406,SLOCAN,20250525,2025-05-25 17:00,0,26.4,27.0,10.4,219.0,93.436,20.109,45.889,11.661,20.064,15.84,N51881,2022,Lightning,49.348706292585206,-117.13076441219567,103056
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 12:00,0,16.4,57.0,6.7,194.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 13:00,0,15.8,62.0,7.2,159.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 14:00,0,16.7,64.0,6.9,173.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 15:00,0,15.4,67.0,8.2,183.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 16:00,0,16.7,71.0,4.8,159.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
3,54,404_20250623,404,SMALLWOOD,20250623,2025-06-23 17:00,0,16.3,62.0,2.2,304.0,52.096,27.032,273.753,0.293,43.36,0.445,N50969,2023,Lightning,49.04878925053847,-117.33468137474189,159013
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 12:00,0,17.7,70.0,5.1,161.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 13:00,0.6,14.3,69.0,7.0,233.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 14:00,0.6,15.8,74.0,3.5,316.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 15:00,0,19.2,60.0,5.4,151.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 16:00,0,16.7,69.0,1.4,288.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
4,26,404_20250526,404,SMALLWOOD,20250526,2025-05-26 17:00,0,18.4,62.0,5.1,191.0,81.483,20.15,140.736,1.733,29.677,3.556,N72498,2022,Lightning,49.8002563337841,-117.01276450861337,21864
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 12:00,0,19.9,35.0,5.1,201.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 13:00,0,22.5,30.0,5.0,205.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 14:00,0,22.4,32.0,4.9,197.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 15:00,0,24.0,27.0,8.3,193.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 16:00,0,21.8,31.0,5.2,206.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
5,323,406_20250928,406,SLOCAN,20250928,2025-09-28 17:00,0,20.6,35.0,6.6,195.0,89.327,53.369,513.772,5.034,84.734,17.864,N70930,2018,Lightning,49.608721358198544,-117.20571823075939,58220
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 12:00,0,23.3,44.0,4.2,204.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 13:00,0,24.7,41.0,5.1,193.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 14:00,0,26.6,35.0,4.4,162.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 15:00,0,27.8,29.0,4.4,159.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 16:00,0,28.3,28.0,3.6,155.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
6,140,404_20250917,404,SMALLWOOD,20250917,2025-09-17 17:00,0,24.2,36.0,1.0,185.0,80.047,70.106,659.324,1.412,110.767,7.43,N71181,2019,Person,49.526539621468395,-117.27396448611967,73805
7,68,404_20250707,404,SMALLWOOD,20250707,2025-07-07 12:00,0,25.5,31.0,6.8,172.0,87.347,34.685,318.7,4.129,54.532,11.969,N52257,2022,Person,49.87037329347177,-117.41288060498802,14946
7,68,404_20250707,404,SMALLWOOD,20250707,2025-07-07 13:00,0,27.4,25.0,8.0,201.0,87.347,34.685,318.7,4.129,54.532,11.969,N52257,2022,Person,49.87037329347177,-117.41288060498802,14946
