run,burned_cells
run_0001,2442
run_0002,3598
run_0003,5455
run_0004,3617
run_0005,3527
run_0006,4441
run_0007,10775
run_0008,18208
run_0009,10591
run_0010,5470
run_0011,3877
run_0012,1740
run_0013,4030
run_0014,8314
run_0015,18364
run_0016,33957
run_0017,31724
run_0018,5548
run_0019,4564
run_0020,5068
run_0021,4409
run_0022,2707
run_0023,6508
run_0024,8772
run_0025,13785
run_0026,15996
run_0027,37911
run_0028,44282
run_0029,15585
run_0030,7251
run_0031,5664
run_0032,5395
run_0033,3545
run_0034,3185
run_0035,8463
run_0036,10023
run_0037,18377
run_0038,23769
run_0039,23823
run_0040,35577
run_0041,39730
run_0042,26945
run_0043,12049
run_0044,3962
run_0045,7289
run_0046,8176
run_0047,3440
run_0048,6626
run_0049,8922
run_0050,11667
run_0051,15400
run_0052,23272
run_0053,21727
run_0054,25774
run_0055,40016
run_0056,28423
run_0057,15741
run_0058,9591
run_0059,16895
run_0060,12127
run_0061,12883
run_0062,3011
run_0063,4762
run_0064,7501
run_0065,8295
run_0066,8786
run_0067,13591
run_0068,15492
run_0069,28688
run_0070,38269
run_0071,47212
run_0072,43927
run_0073,13304
run_0074,10734
run_0075,37819
run_0076,24839
run_0077,17796
run_0078,13860
run_0079,5053
run_0080,1330
run_0081,5116
run_0082,7689
run_0083,12443
run_0084,18121
run_0085,23961
run_0086,22876
run_0087,40487
run_0088,39786
run_0089,38366
run_0090,26654
run_0091,32720
run_0092,35573
run_0093,42531
run_0094,43897
run_0095,25031
run_0096,15188
run_0097,6629
run_0098,9481
run_0099,9705
run_0100,2948
run_0101,5572
run_0102,9233
run_0103,13863
run_0104,21483
run_0105,31781
run_0106,36895
run_0107,38545
run_0108,34145
run_0109,24581
run_0110,16447
run_0111,16874
run_0112,22014
run_0113,46936
run_0114,48311
run_0115,22492
run_0116,8419
run_0117,9061
run_0118,11670
run_0119,393
run_0120,800
run_0121,4967
run_0122,6095
run_0123,10550
run_0124,16420
run_0125,20947
run_0126,19584
run_0127,15453
run_0128,11957
run_0129,2945
run_0130,19253
run_0131,35739
run_0132,35079
run_0133,59133
run_0134,34607
run_0135,14566
run_0136,3650
run_0137,11959
run_0138,14577
run_0139,317
run_0140,1
run_0141,2176
run_0142,5253
run_0143,10406
run_0144,11865
run_0145,9971
run_0146,6743
run_0147,14508
run_0148,19793
run_0149,30668
run_0150,40594
run_0151,51449
run_0152,47636
run_0153,41249
run_0154,17801
run_0155,3684
run_0156,12861
run_0157,1
run_0158,4938
run_0159,7393
run_0160,3745
run_0161,13901
run_0162,23174
run_0163,25612
run_0164,32252
run_0165,45247
run_0166,55694
run_0167,48112
run_0168,8475
run_0169,45865
run_0170,18450
run_0171,3764
run_0172,10245
run_0173,128
run_0174,3920
run_0175,2026
run_0176,5858
run_0177,14340
run_0178,22678
run_0179,23777
run_0180,17874
run_0181,40081
run_0182,56636
run_0183,42112
run_0184,5705
run_0185,39893
run_0186,27446
run_0187,2620
run_0188,573
run_0189,1968
run_0190,2193
run_0191,3909
run_0192,5914
run_0193,11495
run_0194,4003
run_0195,15985
run_0196,34581
run_0197,51386
run_0198,19977
run_0199,4693
run_0200,25745
run_0201,29364
run_0202,19802
run_0203,677
run_0204,1426
run_0205,1527
run_0206,5006
run_0207,7361
run_0208,6928
run_0209,25260
run_0210,29437
run_0211,29315
run_0212,17560
run_0213,11091
run_0214,23793
run_0215,22216
run_0216,1869
run_0217,3994
run_0218,3035
run_0219,13134
run_0220,20089
run_0221,22296
run_0222,19557
run_0223,5055
run_0224,15205
run_0225,18120
run_0226,1992
run_0227,3181
run_0228,6058
run_0229,10145
run_0230,12320
run_0231,13202
run_0232,5246
run_0233,9889
run_0234,13361
run_0235,1694
run_0236,1610
run_0237,5156
run_0238,8200
run_0239,2708
run_0240,4896
run_0241,8243
run_0242,11511
run_0243,12908
run_0244,49
run_0245,1863
run_0246,4592
run_0247,5182
run_0248,4476
run_0249,8524
run_0250,10648
run_0251,583
run_0252,377
run_0253,2438
run_0254,4295
run_0255,5182
run_0256,538
run_0257,538
