run_id,weather_index,scenario,fire_number,fire_year,fire_cause,ignition_lat,ignition_lon,cell_id
1,1,404_P90_20180820_24H_PREVAILING,1,,,49.54589841921097,-117.63907367092304,227876
2,1,404_P90_20180820_24H_PREVAILING,2,,,49.55483184186568,-117.63744605232752,204380
3,1,404_P90_20180820_24H_PREVAILING,3,,,49.56376512468906,-117.6358178028648,180172
4,1,404_P90_20180820_24H_PREVAILING,4,,,49.57269826783012,-117.6341889221698,156676
5,1,404_P90_20180820_24H_PREVAILING,5,,,49.52697064022217,-117.62861834369086,274902
6,1,404_P90_20180820_24H_PREVAILING,6,,,49.53590415133754,-117.62698936799933,251406
7,1,404_P90_20180820_24H_PREVAILING,7,,,49.54483752223079,-117.62535976118482,227910
8,1,404_P90_20180820_24H_PREVAILING,8,,,49.553770753050905,-117.62372952288224,203701
9,1,404_P90_20180820_24H_PREVAILING,9,,,49.56270384394659,-117.62209865272614,180206
10,1,404_P90_20180820_24H_PREVAILING,10,,,49.571636795066745,-117.62046715035088,156709
11,1,404_P90_20180820_24H_PREVAILING,11,,,49.580569606560424,-117.61883501539046,132501
12,1,404_P90_20180820_24H_PREVAILING,12,,,49.516974935438874,-117.61654126248845,298432
13,1,404_P90_20180820_24H_PREVAILING,13,,,49.52590839506798,-117.61491030116818,274935
14,1,404_P90_20180820_24H_PREVAILING,14,,,49.53484171423316,-117.61327870810538,251439
15,1,404_P90_20180820_24H_PREVAILING,15,,,49.543774893083246,-117.61164648293469,227943
16,1,404_P90_20180820_24H_PREVAILING,16,,,49.55270793176693,-117.61001362529039,203735
17,1,404_P90_20180820_24H_PREVAILING,17,,,49.56164083043292,-117.60838013480661,180239
18,1,404_P90_20180820_24H_PREVAILING,18,,,49.570573589230115,-117.60674601111705,156743
19,1,404_P90_20180820_24H_PREVAILING,19,,,49.57950620830749,-117.6051112538552,133247
20,1,404_P90_20180820_24H_PREVAILING,20,,,49.588438687813834,-117.6034758626543,109039
21,1,404_P90_20180820_24H_PREVAILING,21,,,49.49804419378307,-117.60610172569649,346880
22,1,404_P90_20180820_24H_PREVAILING,22,,,49.50697774281353,-117.60446941271104,322672
23,1,404_P90_20180820_24H_PREVAILING,23,,,49.51591115098986,-117.60283646772999,299176
24,1,404_P90_20180820_24H_PREVAILING,24,,,49.524844418460624,-117.60120289038794,274968
25,1,404_P90_20180820_24H_PREVAILING,25,,,49.533777545374264,-117.59956868031928,251472
26,1,404_P90_20180820_24H_PREVAILING,26,,,49.54271053187953,-117.59793383715805,227976
27,1,404_P90_20180820_24H_PREVAILING,27,,,49.5516433781251,-117.59629836053807,203768
28,1,404_P90_20180820_24H_PREVAILING,28,,,49.56057608425959,-117.59466225009277,180272
29,1,404_P90_20180820_24H_PREVAILING,29,,,49.56950865043188,-117.59302550545542,156776
30,1,404_P90_20180820_24H_PREVAILING,30,,,49.57844107679079,-117.59138812625896,132568
31,1,404_P90_20180820_24H_PREVAILING,31,,,49.58737336348519,-117.58975011213604,109072
32,1,404_P90_20180820_24H_PREVAILING,32,,,49.59630551066397,-117.58811146271906,84863
33,1,404_P90_20180820_24H_PREVAILING,33,,,49.48804556507977,-117.59403708572472,370409
34,1,404_P90_20180820_24H_PREVAILING,34,,,49.49697906293295,-117.59240279166185,346914
