run,burned_cells
run_0001,1098
run_0002,5608
run_0003,4261
run_0004,1936
run_0005,5451
run_0006,3578
run_0007,16212
run_0008,10105
run_0009,5715
run_0010,2243
run_0011,3884
run_0012,5185
run_0013,5254
run_0014,9855
run_0015,36885
run_0016,31573
run_0017,13841
run_0018,5894
run_0019,4841
run_0020,3983
run_0021,5253
run_0022,937
run_0023,6363
run_0024,7773
run_0025,36454
run_0026,36499
run_0027,25684
run_0028,18766
run_0029,7639
run_0030,5759
run_0031,4876
run_0032,2343
run_0033,4925
run_0034,6059
run_0035,8030
run_0036,12859
run_0037,29407
run_0038,36121
run_0039,22995
run_0040,18956
run_0041,17180
run_0042,9798
run_0043,7115
run_0044,5883
run_0045,5162
run_0046,3334
run_0047,8230
run_0048,9777
run_0049,9693
run_0050,12679
run_0051,23170
run_0052,35387
run_0053,25123
run_0054,18937
run_0055,21430
run_0056,11547
run_0057,5980
run_0058,15922
run_0059,11896
run_0060,6579
run_0061,4546
run_0062,2631
run_0063,8970
run_0064,11163
run_0065,10882
run_0066,10173
run_0067,31969
run_0068,32295
run_0069,37677
run_0070,30106
run_0071,35392
run_0072,29993
run_0073,15921
run_0074,19279
run_0075,23815
run_0076,14274
run_0077,7542
run_0078,4349
run_0079,3989
run_0080,1330
run_0081,13897
run_0082,16560
run_0083,14524
run_0084,16532
run_0085,22712
run_0086,18690
run_0087,38861
run_0088,27217
run_0089,24488
run_0090,27215
run_0091,34808
run_0092,33102
run_0093,29787
run_0094,24652
run_0095,10539
run_0096,5408
run_0097,9221
run_0098,7393
run_0099,4186
run_0100,9325
run_0101,13621
run_0102,20008
run_0103,25161
run_0104,25460
run_0105,25826
run_0106,23818
run_0107,17129
run_0108,16163
run_0109,16252
run_0110,19505
run_0111,27399
run_0112,34531
run_0113,29916
run_0114,21184
run_0115,7273
run_0116,2407
run_0117,10532
run_0118,10493
run_0119,743
run_0120,643
run_0121,9032
run_0122,8108
run_0123,13913
run_0124,12177
run_0125,9754
run_0126,9581
run_0127,7576
run_0128,7165
run_0129,17087
run_0130,42926
run_0131,48220
run_0132,38405
run_0133,29886
run_0134,12749
run_0135,5393
run_0136,12763
run_0137,13507
run_0138,12514
run_0139,317
run_0140,1
run_0141,7953
run_0142,9528
run_0143,10525
run_0144,4846
run_0145,2620
run_0146,12148
run_0147,22247
run_0148,30575
run_0149,38877
run_0150,45443
run_0151,37391
run_0152,26076
run_0153,20613
run_0154,4559
run_0155,11067
run_0156,14923
run_0157,1
run_0158,7503
run_0159,6137
run_0160,16552
run_0161,34420
run_0162,43856
run_0163,48313
run_0164,50255
run_0165,50674
run_0166,51672
run_0167,25156
run_0168,20487
run_0169,23788
run_0170,6927
run_0171,9482
run_0172,13785
run_0173,128
run_0174,4157
run_0175,7596
run_0176,21448
run_0177,31945
run_0178,36246
run_0179,32431
run_0180,38018
run_0181,36056
run_0182,46354
run_0183,11190
run_0184,20492
run_0185,23545
run_0186,18201
run_0187,7028
run_0188,1565
run_0189,1720
run_0190,4710
run_0191,6039
run_0192,5965
run_0193,13584
run_0194,26683
run_0195,29558
run_0196,33119
run_0197,35389
run_0198,3976
run_0199,18054
run_0200,22291
run_0201,20741
run_0202,2904
run_0203,659
run_0204,1440
run_0205,5211
run_0206,6953
run_0207,5805
run_0208,25776
run_0209,31687
run_0210,32158
run_0211,21225
run_0212,3385
run_0213,19128
run_0214,21684
run_0215,16012
run_0216,1616
run_0217,4413
run_0218,13849
run_0219,23198
run_0220,23198
run_0221,19046
run_0222,5111
run_0223,11187
run_0224,20558
run_0225,18136
run_0226,1568
run_0227,3314
run_0228,12122
run_0229,14523
run_0230,7027
run_0231,5193
run_0232,8340
run_0233,13718
run_0234,16787
run_0235,988
run_0236,5782
run_0237,10177
run_0238,6010
run_0239,8440
run_0240,9876
run_0241,13164
run_0242,12585
run_0243,11450
run_0244,49
run_0245,1912
run_0246,5176
run_0247,5121
run_0248,9352
run_0249,11740
run_0250,12768
run_0251,583
run_0252,2892
run_0253,4659
run_0254,5163
run_0255,5104
run_0256,538
run_0257,454
